Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Web_OR/Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/SpySubmit""))",Chrome 108.0.0.0,,,2022-12-19 12:56:19,2022-12-19 12:56:21,1.654s,PASSED
"verifyMatch(Location, ""Sydney"", false)",Chrome 108.0.0.0,,,2022-12-19 12:56:21,2022-12-19 12:56:21,0.066s,PASSED
"applicationKeyword.WebKeywords.logout(findTestObject(""Web_OR/Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/Spy_Logout""))",Chrome 108.0.0.0,,,2022-12-19 12:56:21,2022-12-19 12:56:22,1.018s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-19 12:56:22,2022-12-19 12:56:23,1.012s,PASSED
Start listener action : JiraBugs,Chrome 108.0.0.0,,,2022-12-19 12:56:23,2022-12-19 12:56:23,0.021s,PASSED
Video,Chrome 108.0.0.0,,,2022-12-19 12:56:25,2022-12-19 12:56:25,0.001s,PASSED
,,,,,,,
Test Cases/WebApplication/Adactin/AdactinTC03_VerifyDatesInSelectHotel,Chrome 108.0.0.0,"Summary: AdactinTC03_VerifyDatesInSelectHotel
Description: Test Steps:
1. openBrowser("""")
2. navigateToUrl(AdactinUrl)
3. applicationKeyword.WebKeywords.login(Username, Password, findTestObject(""Adactin/AdactinSpy/Page_Adactin.com - Hotel Reservation System/Spy_inputUsername""), findTestObject(""Adactin/AdactinSpy/Page_Adactin.com - Hotel Reservation System/Spy_inputPassword""), findTestObject(""Adactin/AdactinSpy/Page_Adactin.com - Hotel Reservation System/Spy_loginButton""))
4. selectOptionByValue(findTestObject(""Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/Spy_Select Location""), Location, true)
5. selectOptionByValue(findTestObject(""Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/Spy_Select Hotel""), HotelName, true)
6. selectOptionByValue(findTestObject(""Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/Spy_Select Room Type""), RoomType, true)
7. setText(findTestObject(""Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/Spy_inputdatepick_in""), CheckInDate)
8. setText(findTestObject(""Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/Spy_inputdatepick_out""), CheckOutDate)
9. click(findTestObject(""Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/SpySubmit""))
10. verifyMatch(CheckInDate, ""5/12/22"", false)
11. verifyMatch(CheckOutDate, ""6/12/22"", false)
12. applicationKeyword.WebKeywords.logout(findTestObject(""Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/Spy_Logout""))
13. closeBrowser()
14. Start listener action : sampleAfterTestCase

",jira-integration,2022-12-19 12:56:25,2022-12-19 12:57:06,41.025s,FAILED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-19 12:56:26,2022-12-19 12:56:29,2.114s,PASSED
commonKeywords.RefreshBrowser.refreshBrowser(),Chrome 108.0.0.0,,,2022-12-19 12:56:29,2022-12-19 12:56:29,0.104s,PASSED
navigateToUrl(AdactinUrl),Chrome 108.0.0.0,,,2022-12-19 12:56:29,2022-12-19 12:56:44,15.210s,PASSED
"applicationKeyword.WebKeywords.login(Username, Password, findTestObject(""Web_OR/Adactin/AdactinSpy/Page_Adactin.com - Hotel Reservation System/Spy_inputUsername""), findTestObject(""Web_OR/Adactin/AdactinSpy/Page_Adactin.com - Hotel Reservation System/Spy_inputPassword""), findTestObject(""Web_OR/Adactin/AdactinSpy/Page_Adactin.com - Hotel Reservation System/Spy_loginButton""))",Chrome 108.0.0.0,,,2022-12-19 12:56:44,2022-12-19 12:56:50,6.145s,PASSED
"selectOptionByValue(findTestObject(""Web_OR/Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/Spy_Select Location""), Location, true)",Chrome 108.0.0.0,,,2022-12-19 12:56:50,2022-12-19 12:56:51,1.512s,PASSED
"selectOptionByValue(findTestObject(""Web_OR/Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/Spy_Select Hotel""), HotelName, true)",Chrome 108.0.0.0,,,2022-12-19 12:56:51,2022-12-19 12:56:53,1.371s,PASSED
"selectOptionByValue(findTestObject(""Web_OR/Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/Spy_Select Room Type""), RoomType, true)",Chrome 108.0.0.0,,,2022-12-19 12:56:53,2022-12-19 12:56:54,1.172s,PASSED
"setText(findTestObject(""Web_OR/Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/Spy_inputdatepick_in""), CheckInDate)",Chrome 108.0.0.0,,,2022-12-19 12:56:54,2022-12-19 12:56:55,0.970s,PASSED
"setText(findTestObject(""Web_OR/Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/Spy_inputdatepick_out""), CheckOutDate)",Chrome 108.0.0.0,,,2022-12-19 12:56:55,2022-12-19 12:56:56,0.923s,PASSED
"click(findTestObject(""Web_OR/Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/SpySubmit""))",Chrome 108.0.0.0,,,2022-12-19 12:56:56,2022-12-19 12:56:58,1.674s,PASSED
"verifyMatch(CheckInDate, ""05/12/2022"", false)",Chrome 108.0.0.0,,,2022-12-19 12:56:58,2022-12-19 12:56:58,0.058s,FAILED
Start listener action : JiraBugs,Chrome 108.0.0.0,,,2022-12-19 12:56:58,2022-12-19 12:57:04,6.428s,PASSED
Video,Chrome 108.0.0.0,,,2022-12-19 12:57:06,2022-12-19 12:57:06,0.000s,PASSED
,,,,,,,
Test Cases/WebApplication/Adactin/AdactinTC04_VerifyLoginDetailsFailed,Chrome 108.0.0.0,"Summary: AdactinTC04_VerifyLoginDetailsFailed
Description: Test Steps:
1. openBrowser("""")
2. navigateToUrl(AdactinUrl)
3. applicationKeyword.WebKeywords.login(Username, Password, findTestObject(""Adactin/AdactinSpy/Page_Adactin.com - Hotel Reservation System/Spy_inputUsername""), findTestObject(""Adactin/AdactinSpy/Page_Adactin.com - Hotel Reservation System/Spy_inputPassword""), findTestObject(""Adactin/AdactinSpy/Page_Adactin.com - Hotel Reservation System/Spy_loginButton""))
4. selectOptionByValue(findTestObject(""Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/Spy_Select Location""), Location, true)
5. selectOptionByValue(findTestObject(""Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/Spy_Select Hotel""), HotelName, true)
6. selectOptionByValue(findTestObject(""Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/Spy_Select Room Type""), RoomType, true)
7. setText(findTestObject(""Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/Spy_inputdatepick_in""), CheckInDate)
8. setText(findTestObject(""Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/Spy_inputdatepick_out""), CheckOutDate)
9. click(findTestObject(""Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/SpySubmit""))
10. verifyMatch(CheckInDate, ""5/12/22"", false)
11. verifyMatch(CheckOutDate, ""6/12/22"", false)
12. applicationKeyword.WebKeywords.logout(findTestObject(""Adactin/AdactinSpy/Page_Adactin.com - Search Hotel/Spy_Logout""))
13. closeBrowser()
14. Start listener action : sampleAfterTestCase",jira-integration,2022-12-19 12:57:06,2022-12-19 12:57:32,25.498s,FAILED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-19 12:57:07,2022-12-19 12:57:10,2.685s,PASSED
commonKeywords.RefreshBrowser.refreshBrowser(),Chrome 108.0.0.0,,,2022-12-19 12:57:10,2022-12-19 12:57:10,0.037s,PASSED
navigateToUrl(AdactinUrl),Chrome 108.0.0.0,,,2022-12-19 12:57:10,2022-12-19 12:57:19,9.454s,PASSED
"applicationKeyword.WebKeywords.login(Username, Password, findTestObject(""Web_OR/Adactin/AdactinSpy/Page_Adactin.com - Hotel Reservation System/Spy_inputUsername""), findTestObject(""Web_OR/Adactin/AdactinSpy/Page_Adactin.com - Hotel Reservation System/Spy_inputPassword""), findTestObject(""Web_OR/Adactin/AdactinSpy/Page_Adactin.com - Hotel Reservation System/Spy_loginButton""))",Chrome 108.0.0.0,,,2022-12-19 12:57:19,2022-12-19 12:57:27,8.028s,PASSED
"verifyEqual(!(true), true)",Chrome 108.0.0.0,,,2022-12-19 12:57:27,2022-12-19 12:57:27,0.042s,FAILED
Start listener action : JiraBugs,Chrome 108.0.0.0,,,2022-12-19 12:57:27,2022-12-19 12:57:30,2.311s,PASSED
Video,Chrome 108.0.0.0,,,2022-12-19 12:57:32,2022-12-19 12:57:32,0.001s,PASSED
