Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WebSuite_OrangeHrm,,,,2022-12-19 16:50:50,2022-12-19 16:50:57,6.771s,PASSED
,,,,,,,
Test Cases/WebApplication/OrangeHrm/OrangeHrmTC01_Login,,"Summary: OrangeHrmTC01_Login
Description: ",jira-integration,2022-12-19 16:50:53,2022-12-19 16:50:57,4.682s,PASSED
return null,,,,2022-12-19 16:50:55,2022-12-19 16:50:55,0.012s,PASSED
Start listener action : JiraBugs,,,,2022-12-19 16:50:55,2022-12-19 16:50:55,0.367s,PASSED
Video,,,,2022-12-19 16:50:57,2022-12-19 16:50:57,0.002s,PASSED
